SEARCH,GRAMMAR AND PROSODY,ACCENTUATION,CLASSICAL PRONUNCIATION,ECCLESIASTICAL PRONUNCIATION
mercor," mērcŏr, aris, ari ",mer-cor,meːrkɔr,merkɔr
mercurius," mērcŭrĭus, ii, m. ",mer-cú-ri-us,meːrkʊrɪʊs,merkurjus
mereo," mĕrĕo, es, ere, rui, ritum  ",mé-re-o,mɛrɛo,mɛrɛo
mereor," mĕrĕŏr, eris, eri, meritus sum ",mé-re-or,mɛrɛɔr,mɛrɛɔr
meretrix," mĕrē̆trīx, icis, f. ",mé-re-trix,mɛreː̆triːks,mɛrĕtriks
mergo," mērgo, is, ere, mersi, mersum ",mer-go,meːrgo,mergo
mergus," mērgus, i, m. ",mer-gus,meːrgʊs,mergus
meridies," mĕrīdĭes, ei, m. ",me-rí-di-es,mɛriːdɪɛs,mɛridjɛs
merito," mĕrĭtō, adv. ",mé-ri-to,mɛrɪtoː,mɛrito
merito,"mĕrĭto, mĕrĭtas, mĕrĭtāre, meritavi, meritatum",mé-ri-to,mɛrɪtoː,mɛrito
meritum," mĕrĭtŭm, i, n. ",mé-ri-tum,mɛrɪtʊm,mɛritum
meritus," mĕrĭtus, a, um ",mé-ri-tus,mɛrɪtʊs,mɛritus
mers," mērs, mercis, f. ",mers,meːrs,mers
merum," mĕrum, i, n. ",me-rum,mɛrʊm,mɛrum
merus," mĕrus, a, um ",me-rus,mɛrʊs,mɛrus
merx," mērx, mercis, f. ",merx,meːrks,merks
Messala," Mēssāla, a, m. ",Mes-sá-la,meːssaːla,messala
Messalina," Mēssālīna, ae, f. ",Mes-sa-lí-na,meːssaːliːna,messalina
Messalla," Mēssālla, ae, m. ",Mes-sál-la,meːssaːlla,messalla
Messana," Mēssāna, ae, f. ",Mes-sá-na,meːssaːna,messana
messis," mēssĭs, is, f. ",mes-sis,meːssɪs,messis
messus," mēssus, a, um ",mes-sus,meːssʊs,messus
meta," mēta, ae, f. ",me-ta,meːta,meta
metallum," mĕtāllŭm, i, n. ",me-tál-lum,mɛtaːllʊm,mɛtallum
metior," mētĭŏr, iris, iri, mensus sum ",mé-ti-or,meːtɪɔr,metjɔr
meto,"mēto, mētas, mētāre",me-to,meːto,meto
meto,"mĕto, mĕtis, mĕtĕre, messui, messum",me-to,mɛto,mɛto
metuo," mĕtŭo, is, ere, ui, utum ",mé-tu-o,mɛtwo,mɛtuo
metus," mĕtus, us, m. ",me-tus,mɛtʊs,mɛtus
meus," mĕus, mea, meum ",me-us,mɛʊs,mɛus
mico," mĭco, as, are, micui ",mi-co,mɪko,miko
migro," mī̆gro, as, are ",mi-gro,miː̆gro,mĭgro
miles," mīlĕs, itis, m. ",mi-les,miːlɛs,milɛs
militares," militares, ium, m. ",mi-li-tá-res,mɪlɪtarɛs,militarɛs
militaris," mīlĭtārĭs, e ",mi-li-tá-ris,miːlɪtaːrɪs,militaris
militarius," mīlĭtārĭus, a, um ",mi-li-tá-ri-us,miːlɪtaːrɪʊs,militarjus
militia," mīlĭtĭa, ae, f. ",mi-lí-ti-a,miːlɪtɪa,militsja
milito," mīlĭto, as, are ",mí-li-to,miːlɪto,milito
milito," mīlĭto, ōnis, m. ",mí-li-to,miːlɪto,milito
mille," mīlle,  n. ia, ium ",mil-le,miːllɛ,millɛ
millies," mīllĭēs, mīllĭēns, adv. ",míl-li-es,miːllɪeːs,milljes
millus," mīllus, i, m. ",mil-lus,miːllʊs,millus
Milo," Mĭlō̆, onis, m. ",Mi-lo,mɪloː̆,milɔ
mimus," mīmus, i, m. ",mi-mus,miːmʊs,mimus
mina," mĭna, ae, f. ",mi-na,mɪna,mina
minae," mĭnāe, arum, f. pl. ",mi-næ,mɪnae̯,minɛ
minax," mĭnāx, acis, m. ",mi-nax,mɪnaːks,minaks
Minerva," Mĭnērva, ae, f. ",Mi-nér-va,mɪneːrwa,minerva
minimum," mĭnĭmŭm, adv. ",mí-ni-mum,mɪnɪmʊm,minimum
minimum," mĭnĭmum, i, n. ",mí-ni-mum,mɪnɪmʊm,minimum
minimus," mĭnĭmus, a, um ",mí-ni-mus,mɪnɪmʊs,minimus
minister," mĭnīstĕr, tra, trum ",mi-nís-ter,mɪniːstɛr,ministɛr
ministerium," mĭnīstĕrĭŭm, i, n. ",mi-nis-té-ri-um,mɪniːstɛrɪʊm,ministɛrjum
ministra," mĭnīstra, ae, f. ",mi-nís-tra,mɪniːstra,ministra
ministro," mĭnīstro, as, are ",mi-nís-tro,mɪniːstro,ministro
minito," mĭnĭto, as, are ",mí-ni-to,mɪnɪto,minito
minitor," mĭnĭtŏr, aris, ari ",mí-ni-tor,mɪnɪtɔr,minitɔr
mino," mĭno, āre ",mi-no,mɪno,mino
minor," mĭnŏr, aris, ari, atus sum ",mi-nor,mɪnɔr,minɔr
Minucius," Mĭnŭcĭus, a, um ",Mi-nú-ci-us,mɪnʊkɪʊs,minutʃus
minuo," mĭnŭo, is, ere, ui, utum ",mí-nu-o,mɪnwo,minuo
minus," mĭnus, a, um ",mi-nus,mɪnʊs,minus
minutus," mĭnūtus, a, um ",mi-nú-tus,mɪnʊːtʊs,minutus
mirabile," mīrābĭle, is, n. ",mi-rá-bi-le,miːraːbɪlɛ,mirabilɛ
mirabilis," mīrābĭlĭs, e ",mi-rá-bi-lis,miːraːbɪlɪs,mirabilis
miraculum," mīrācŭlŭm, i, n. ",mi-rá-cu-lum,miːraːkʊlʊm,mirakulum
miro," mīro, āre, 1 ",mi-ro,miːro,miro
miror," mīrŏr, aris, ari ",mi-ror,miːrɔr,mirɔr
mirus," mīrus, a, um ",mi-rus,miːrʊs,mirus
misceo," mīscĕo, es, ere, ui, mixtum ",mí-sce-o,miːskɛo,miʃɛo
miser," mĭsĕr, a, um ",mi-ser,mɪsɛr,misɛr
miserabilis," mĭsĕrābĭlĭs, e ",mi-se-rá-bi-lis,mɪsɛraːbɪlɪs,misɛrabilis
miserandus," mĭsĕrāndus, a, um ",mi-se-rán-dus,mɪsɛraːndʊs,misɛrandus
miseratio," mĭsĕrātĭō̆, onis, f. ",mi-se-rá-ti-o,mɪsɛraːtɪoː̆,misɛratsjo
misereo," mĭsĕrĕo, es, ere, rŭi, rĭtum , intr. ",mi-sé-re-o,mɪsɛrɛo,misɛrɛo
misereor," mĭsĕrĕŏr, eris, eri ",mi-sé-re-or,mɪsɛrɛɔr,misɛrɛɔr
miseria," mĭsĕrĭa, ae, f. ",mi-sé-ri-a,mɪsɛrɪa,misɛrja
misericordia," mĭsĕrĭcōrdĭa, ae, f. ",mi-se-ri-cór-di-a,mɪsɛrɪkoːrdɪa,misɛrikordja
misericors," mĭsĕrĭcōrs, cordis ",mi-sé-ri-cors,mɪsɛrɪkoːrs,misɛrikors
misero," mĭsĕro, āre, 1 ",mí-se-ro,mɪsɛro,misɛro
miseror," mĭsĕrŏr, aris, ari ",mí-se-ror,mɪsɛrɔr,misɛrɔr
missio," mīssĭō̆, ionis, f. ",mís-si-o,miːssɪoː̆,missjɔ
Mithridates," Mĭthrĭdātēs, atis, m. ",Mit-hri-dá-tes,mɪtʰrɪdaːteːs,mitridates
mitigo," mītĭgo, as, are ",mí-ti-go,miːtɪgo,mitigo
mitio," mītĭo, is, ire ",mí-ti-o,miːtɪo,mitsjo
mitis," mītĭs, e ",mi-tis,miːtɪs,mitis
mitto," mītto, is, ere, misi, missum ",mit-to,miːtto,mitto
Mnesilochus," Mnēsĭlŏchus, i, m. ",Mne-sí-lo-chus,mneːsɪlɔkʰʊs,mnesilɔkus
mobilis," mōbĭlĭs, e ",mó-bi-lis,moːbɪlɪs,mobilis
mobilitas," mōbĭlĭtās, atis, f. ",mo-bí-li-tas,moːbɪlɪtaːs,mobilitas
mobilito," mōbĭlĭto, as, are ",mo-bí-li-to,moːbɪlɪto,mobilito
moderate," mŏdĕrātē, adv. ",mo-de-rá-te,mɔdɛraːteː,mɔdɛrate
moderatio," mŏdĕrātĭō̆, ionis, f. ",mo-de-rá-ti-o,mɔdɛraːtɪoː̆,mɔdɛratsjo
moderatus," mŏdĕrātus, a, um ",mo-de-rá-tus,mɔdɛraːtʊs,mɔdɛratus
modero," mŏdĕro, as, are ",mó-de-ro,mɔdɛro,mɔdɛro
moderor," mŏdĕrŏr, aris, ari ",mó-de-ror,mɔdɛrɔr,mɔdɛrɔr
modeste," mŏdēstē, adv. ",mo-dés-te,mɔdeːsteː,mɔdeste
modestia," mŏdēstĭa, ae, f. ",mo-dés-ti-a,mɔdeːstɪa,mɔdestja
modestus," mŏdēstus, a, um ",mo-dés-tus,mɔdeːstʊs,mɔdestus
modice," mŏdĭcē, adv. ",mó-di-ce,mɔdɪkeː,mɔditʃe
modicus," mŏdĭcus, a, um ",mó-di-cus,mɔdɪkʊs,mɔdikus
modius," mŏdĭus, i, m. ",mó-di-us,mɔdɪʊs,mɔdjus
modo," mŏdŏ, adv. ",mo-do,mɔdɔ,mɔdɔ
modus," mŏdus, i, m. ",mo-dus,mɔdʊs,mɔdus
moene," mōene, is, n. ",mœ-ne,moɛ̯nɛ,menɛ
moenia," mōenĭa, ium, n. pl. ",mœ́-ni-a,moɛ̯nɪa,menja
Moesia," Mōesĭa, ae, f. ",Mœ́-si-a,moɛ̯sɪa,mesja
moles," mōlēs, is, f. ",mo-les,moːleːs,moles
moleste," mŏlēstē, adv. ",mo-lés-te,mɔleːsteː,mɔleste
molestia," mŏlēstĭa, ae, f. ",mo-lés-ti-a,mɔleːstɪa,mɔlestja
molestus," mŏlēstus, a, um ",mo-lés-tus,mɔleːstʊs,mɔlestus
molio," mōlĭo, īre, 4 ",mó-li-o,moːlɪo,moljo
molior," mōlĭŏr, iris, iri, itus sum ",mó-li-or,moːlɪɔr,moljɔr
molis," mōlĭs, is, f. ",mo-lis,moːlɪs,molis
molle," mōlle, is, n. ",mol-le,moːllɛ,mollɛ
mollio," mōllĭo, is, ire, iui, itum ",mól-li-o,moːllɪo,molljo
mollis," mōllĭs, e ",mol-lis,moːllɪs,mollis
molliter," mōllĭtĕr, adv. ",mól-li-ter,moːllɪtɛr,mollitɛr
molo," mŏlo, as, are ",mo-lo,mɔlo,mɔlo
momentum," mōmēntŭm, i, n. ",mo-mén-tum,moːmeːntʊm,momentum
moneo," mŏnĕo, es, ere, ui, itum ",mó-ne-o,mɔnɛo,mɔnɛo
monitus," mŏnĭtŭm, i, n. ",mó-ni-tum,mɔnɪtʊm,mɔnitum
monitus," mŏnĭtus, a, um ",mó-ni-tus,mɔnɪtʊs,mɔnitus
mons," mōns, montis, m. ",mons,moːns,mons
monstro," mōnstro, as, are ",mons-tro,moːnstro,monstro
monstrum," mōnstrŭm, i, n. ",mons-trum,moːnstrʊm,monstrum
monumentum," mŏnŭmēntŭm,  i, n. ",mo-nu-mén-tum,mɔnʊmeːntʊm,mɔnumentum
mora," mōra, ae, f. ",mo-ra,moːra,mora
morbus," mōrbus, i, m. ",mor-bus,moːrbʊs,morbus
mordeo," mōrdĕo, es, ere, momordi, morsum ",mór-de-o,moːrdɛo,mordɛo
morior," mŏrĭŏr, eris, i, mortuus sum ",mó-ri-or,mɔrɪɔr,mɔrjɔr
moro," mŏro, āre ",mo-ro,mɔro,mɔro
moror,"mōror, mōrāris, mōrāri",mo-ror,moːrɔr,morɔr
moror,"mŏror, mŏrāris, mŏrāri, moratus sum",mo-ror,mɔrɔr,mɔrɔr
mors," mōrs, mortis, f. ",mors,moːrs,mors
morsus," mōrsus, a, um ",mor-sus,moːrsʊs,morsus
morsus," mōrsus, us, m. ",mor-sus,moːrsʊs,morsus
mortalia," mōrtālĭa, ium, n. ",mor-tá-li-a,moːrtaːlɪa,mortalja
mortalis," mōrtālĭs, e ",mor-tá-lis,moːrtaːlɪs,mortalis
mortalis," mōrtālĭs, is, m. et f. ",mor-tá-lis,moːrtaːlɪs,mortalis
mortalitas," mōrtālĭtās, ātis, f. ",mor-tá-li-tas,moːrtaːlɪtaːs,mortalitas
mortarium," mōrtārĭŭm, ii, n. ",mor-tá-ri-um,moːrtaːrɪʊm,mortarjum
morticinus," mōrtĭcīnus, a, um ",mor-ti-cí-nus,moːrtɪkiːnʊs,mortitʃinus
mortifer," mōrtĭfĕr, era, erum ",mór-ti-fer,moːrtɪfɛr,mortifɛr
mortifere," mōrtĭfĕrē, adv. ",mor-tí-fe-re,moːrtɪfɛreː,mortifɛre
mortuus," mōrtŭus, a, um ",mór-tu-us,moːrtwʊs,mortuus
mortuus," mōrtŭus, i, m. ",mór-tu-us,moːrtwʊs,mortuus
morum," mōrum, i, n. ",mo-rum,moːrʊm,morum
morus," mōrus, a, um ",mo-rus,moːrʊs,morus
mos," mōs, moris, m. ",mos,moːs,mos
motus," mōtus, a, um ",mo-tus,moːtʊs,motus
motus," mōtus, us, m. ",mo-tus,moːtʊs,motus
moveo," mŏvĕo, es, ere, moui, motum ",mó-ve-o,mɔwɛo,mɔvɛo
mox," mōx, adv. ",mox,moːks,moks
mucro," mū̆crō̆, onis, m. ",mu-cro,mʊː̆kroː̆,mŭkrɔ
mulceo," mūlcĕo, es, ere, mulsi, mulsum ",múl-ce-o,mʊːlkɛo,multʃɛo
muliebris," mŭlĭē̆brĭs, e ",mu-lí-e-bris,mʊlɪeː̆brɪs,muliĕbris
mulier," mŭlĭĕr, is, f. ",mú-li-er,mʊlɪɛr,muljɛr
muliercula," mŭlĭērcŭla, ae, f. ",mu-li-ér-cu-la,mʊlɪeːrkʊla,muljerkula
multa," mūlta, ae, f. ",mul-ta,mʊːlta,multa
multa," mūlta, orum, n. ",mul-ta,mʊːlta,multa
multi," mūlti, orum, m. ",mul-ti,mʊːltɪ,multi
multiplex," mūltī̆plēx, icis ",múl-ti-plex,mʊːltiː̆pleːks,multĭpleks
multiplico," mūltī̆plĭco, as, are ",mul-tí-pli-co,mʊːltiː̆plɪko,multĭpliko
multiplicus," mūltĭplĭcus, a, um ",mul-tí-pli-cus,mʊːltɪplɪkʊs,multiplikus
multitudo," mūltĭtūdō, dinis, f. ",mul-ti-tú-do,mʊːltɪtʊːdoː,multitudo
multo," mūltō, adv. ",mul-to,mʊːltoː,multo
multo," mūlto, as, are ",mul-to,mʊːlto,multo
multum," mūltŭm, adv. ",mul-tum,mʊːltʊm,multum
multum," mūltum, i, n. ",mul-tum,mʊːltʊm,multum
multus," mūltus, a, um ",mul-tus,mʊːltʊs,multus
mundus," mūndus, a, um ",mun-dus,mʊːndʊs,mundus
mundus," mūndus, i, m. ",mun-dus,mʊːndʊs,mundus
munia," mūnĭă, ium, n. pl. ",mú-ni-a,mʊːnɪa,munja
municeps," mūnĭcēps, cipis, n. ",mú-ni-ceps,mʊːnɪkeːps,munitʃeps
municipium," mūnĭcĭpĭŭm, i, n. ",mu-ni-cí-pi-um,mʊːnɪkɪpɪʊm,munitʃipjum
munimentum," mūnīmēntŭm, i, n. ",mu-ni-mén-tum,mʊːniːmeːntʊm,munimentum
munio," mūnĭo, is, ire, iui, itum ",mú-ni-o,mʊːnɪo,munjo
munio," mūnĭo, ōnis, m. ",mú-ni-o,mʊːnɪo,munjo
munis," mūnĭs, e ",mu-nis,mʊːnɪs,munis
munitio," mūnītĭō̆, ionis, f. ",mu-ní-ti-o,mʊːniːtɪoː̆,munitsjo
munitus," mūnītus, a, um ",mu-ní-tus,mʊːniːtʊs,munitus
munus," mūnŭs, eris, n. ",mu-nus,mʊːnʊs,munus
muraena," mūrāena, mūrēna, ae, f. ",mu-rǽ-na,mʊːrae̯na,murɛna
Murena," Mūrēna, ae, m. ",Mu-ré-na,mʊːreːna,murena
murmur," mūrmŭr, uris, n. ",mur-mur,mʊːrmʊr,murmur
murus," mūrus, i, m. ",mu-rus,mʊːrʊs,murus
mustum," mūstum, i, n. ",mus-tum,mʊːstʊm,mustum
mustus," mūstus, a, um ",mus-tus,mʊːstʊs,mustus
mutatio," mūtātĭō̆, onis, f ",mu-tá-ti-o,mʊːtaːtɪoː̆,mutatsjo
Mutina," Mŭtĭna, ae, f. ",Mú-ti-na,mʊtɪna,mutina
muto," mūto, as, are ",mu-to,mʊːto,muto
muto," mūto, ōnis, m. ",mu-to,mʊːto,muto
mutum," mūtum, i, n. ",mu-tum,mʊːtʊm,mutum
mutus," mūtus, a, um ",mu-tus,mʊːtʊs,mutus
mutus," mūtus, i, m. ",mu-tus,mʊːtʊs,mutus
mutuus," mūtŭus, a, um ",mú-tu-us,mʊːtwʊs,mutuus
Mуcena," Mўcēna, ae, f. ",Mуcena,mʏkeːna,mitʃena
Mуcenae," Mўcēnāe, arum, f. ",Mуcenae,mʏkeːnae̯,mitʃenɛ
Mуcene," Mўcēnē, es, f. ",Mуcene,mʏkeːneː,mitʃene
myrtus," mȳrtus, i, m. ",myr-tus,mʏːrtʊs,mirtus
Naevius," Nāevĭus, i, m.",Nǽ-vi-us,nae̯wɪʊs,nɛvjus
nam," năm, con. ",nam,nam,nam
nanciscor," nāncīscŏr, eris, i, nactus sum ",nan-cís-cor,naːnkiːskɔr,nantʃiskɔr
nares," nāres, ium, f. ",na-res,naːrɛs,narɛs
naris," nārĭs, naris, f. ",na-ris,naːrɪs,naris
narro," nārro, as, are ",nar-ro,naːrro,narro
narus," nārus, a, um ",na-rus,naːrʊs,narus
nasco," nāsco, ĕre ",nas-co,naːsko,nasko
nascor," nāscŏr, eris, i, natus sum ",nas-cor,naːskɔr,naskɔr
nasus," nāsus, i, m. ",na-sus,naːsʊs,nasus
nata," nāta, ae, f. ",na-ta,naːta,nata
natale," nātāle, is, n. ",na-tá-le,naːtaːlɛ,natalɛ
natales," nātāles, ium, m. ",na-tá-les,naːtaːlɛs,natalɛs
natalis," nātālĭs, e ",na-tá-lis,naːtaːlɪs,natalis
natio," nātĭō̆, onis, f. ",ná-ti-o,naːtɪoː̆,natsjo
nativus," nātīvus, a, um ",na-tí-vus,naːtiːwʊs,nativus
nato," năto, as, are ",na-to,nato,nato
natu," nātū, adv. ",na-tu,naːtʊː,natu
natura," nātūra, ae, f. ",na-tú-ra,naːtʊːra,natura
naturale," nātūrāle, is, n. ",na-tu-rá-le,naːtʊːraːlɛ,naturalɛ
naturalis," nātūrālĭs, e ",na-tu-rá-lis,naːtʊːraːlɪs,naturalis
natus," nātus, a, um ",na-tus,naːtʊs,natus
natus," nātus, i, m. ",na-tus,naːtʊs,natus
natus," nātŭs, us, m. ",na-tus,naːtʊs,natus
naufragium," nāufrăgĭŭm, i, n. ",nau-frá-gi-um,naʊ̯fragɪʊm,nau̯fradʒum
nauta," nāuta, ae, m. ",nau-ta,naʊ̯ta,nau̯ta
navale," nāvāle, is, n. ",na-vá-le,naːwaːlɛ,navalɛ
navalis," nāvālĭs, e ",na-vá-lis,naːwaːlɪs,navalis
navia," nāvĭa, ae, f. ",ná-vi-a,naːwɪa,navja
navigatio," nāvĭgātĭō̆, ionis, f. ",na-vi-gá-ti-o,naːwɪgaːtɪoː̆,navigatsjo
navigium," nāvĭgĭŭm, i, n. ",na-ví-gi-um,naːwɪgɪʊm,navidʒum
navigo," nāvĭgo, as, are ",ná-vi-go,naːwɪgo,navigo
navis," nāvĭs, is, f. ",na-vis,naːwɪs,navis
navium," nāvĭum, ii, n. ",ná-vi-um,naːwɪʊm,navjum
navo," nāvo, as, are ",na-vo,naːwo,navo
navus," nāvus, a, um ",na-vus,naːwʊs,navus
ne," nē, adv. ",ne,neː,ne
Neapolis," Nĕāpŏlĭs, is, f. ",Ne-á-po-lis,nɛaːpɔlɪs,nɛapɔlis
nebula," nĕbŭla, ae, f. ",né-bu-la,nɛbʊla,nɛbula
nebulo," nĕbŭlo, āre ",né-bu-lo,nɛbʊlo,nɛbulo
nec," nĕc, adv. ",nec,nɛk,nɛk
necdum," nēcdŭm, adv. ",nec-dum,neːkdʊm,nekdum
necessarie," nĕcēssārĭē, adv. ",ne-ces-sá-ri-e,nɛkeːssaːrɪeː,nɛtʃessarje
necessario," nĕcēssārĭō, adv. ",ne-ces-sá-ri-o,nɛkeːssaːrɪoː,nɛtʃessarjo
necessarius," nĕcēssārĭus, a, um ",ne-ces-sá-ri-us,nɛkeːssaːrɪʊs,nɛtʃessarjus
necesse," nĕcēssĕ, adi. ",ne-cés-se,nɛkeːssɛ,nɛtʃessɛ
necessitas," nĕcēssĭtās, atis, f. ",ne-cés-si-tas,nɛkeːssɪtaːs,nɛtʃessitas
necessitudo," nĕcēssĭtūdō, inis, f. ",ne-ces-si-tú-do,nɛkeːssɪtʊːdoː,nɛtʃessitudo
necne," nēcnĕ, adv. ",nec-ne,neːknɛ,neknɛ
necnon," necnon,  ",nec-non,nɛknon,nɛknon
neco," nĕco, as, are ",ne-co,nɛko,nɛko
necto," nēcto, is, ere, nexi, nexum ",nec-to,neːkto,nekto
nectus," nēctus, a, um ",nec-tus,neːktʊs,nektus
nedum," nēdŭm, adv. ",ne-dum,neːdʊm,nedum
nefandus," nĕfāndus, a, um ",ne-fán-dus,nɛfaːndʊs,nɛfandus
nefarie," nĕfārĭē, adv. ",ne-fá-ri-e,nɛfaːrɪeː,nɛfarje
nefarius," nĕfārĭus, a, um ",ne-fá-ri-us,nɛfaːrɪʊs,nɛfarjus
nefas," nĕfās,  n. ",ne-fas,nɛfaːs,nɛfas
neglego," nē̆glĕgo, nē̆clĕgo, nē̆glĭgo, is, ere, lexi, lectum ",né-gle-go,neː̆glɛgo,nĕglɛgo
negligenter," negligēnter, adv. cf. neglegenter ",ne-gli-gén-ter,nɛglɪgeːntɛr,nɛglidʒentɛr
nego," nĕgo, as, are ",ne-go,nɛgo,nɛgo
negotiator," nĕgōtĭātŏr, oris, m. ",ne-go-ti-á-tor,nɛgoːtɪaːtɔr,nɛgotsjatɔr
negotior," nĕgōtĭŏr, aris, ari ",ne-gó-ti-or,nɛgoːtɪɔr,nɛgotjɔr
negotium," nĕgōtĭŭm, ii, n. ",ne-gó-ti-um,nɛgoːtɪʊm,nɛgotsjum
nemo," nēmō̆, nullius, nt. nihil, nil , pron. ",ne-mo,neːmoː̆,nemɔ
nempe," nēmpĕ, adv. ",nem-pe,neːmpɛ,nempɛ
nemus," nĕmŭs, oris, n. ",ne-mus,nɛmʊs,nɛmus
neo," nĕo, es, ere, nēvi, nētum ",ne-o,nɛo,nɛo
nepos," nĕpōs, otis, m. ",ne-pos,nɛpoːs,nɛpos
neptis," nēptĭs, is, f. ",nep-tis,neːptɪs,neptis
Neptunus," Nēptūnus, i, m. ",Nep-tú-nus,neːptʊːnʊs,neptunus
nepus," nĕpūs, a, um ",ne-pus,nɛpʊːs,nɛpus
nequam," nēquăm, adi. ",ne-quam,neːkʷam,nekwam
nequaquam," nēquāquăm, adv. ",ne-quá-quam,neːkʷaːkʷam,nekwakwam
neque," nĕquĕ, con. coord. ",ne-que,nɛkʷɛ,nɛkwɛ
nequeo," nĕquĕo, is, ire, quiui-quii, quitum ",né-que-o,nɛkʷɛo,nɛkwɛo
nequiquam," nēquīquăm, adv. ",ne-quí-quam,neːkʷiːkʷam,nekwikwam
nequitia," nēquĭtĭa, ae, f. ",ne-quí-ti-a,neːkʷɪtɪa,nekwitsja
Nero," Nĕrō̆, onis, m. ",Ne-ro,nɛroː̆,nɛrɔ
Nerva," Nērva, ae, m. ",Ner-va,neːrwa,nerva
Nervii," Nērvĭi, orum, m. pl. ",Nér-vi-i,neːrwɪɪ,nervji
Nervius," Nērvĭus, a, um ",Nér-vi-us,neːrwɪʊs,nervjus
nervus," nērvus, i, m. ",ner-vus,neːrwʊs,nervus
nes," nes, ae, m. ",nes,nɛs,nɛs
nescio," nēscĭo, is, ire, iui , itum ",né-sci-o,neːskɪo,neʃjo
nescium," nēscĭum, ii, n. ",né-sci-um,neːskɪʊm,neʃjum
nescius," nēscĭus, a, um ",né-sci-us,neːskɪʊs,neʃjus
neu," nēu, nēvĕ, con. ",neu,nɛʊ̯,nɛu̯
neuter," nĕŭtĕr, tra, trum ",néu-ter,nɛʊ̯tɛr,nɛu̯tɛr
nex," nēx, necis, f. ",nex,neːks,neks
ni," nī, con. sub. ",ni,niː,ni
nidus," nīdus, i, m ",ni-dus,niːdʊs,nidus
niger," nĭgĕr, gra, grum ",ni-ger,nɪgɛr,nidʒɛr
nihil," nĭhĭl, pron. ",ni-hil,nɪhɪl,niil
nihilominus," nĭhĭlōmĭnŭs, adv. ",ni-hi-ló-mi-nus,nɪhɪloːmɪnʊs,niilominus
nihilum," nĭhĭlum, i, n. ",ní-hi-lum,nɪhɪlʊm,niilum
Nilus," Nīlus, i, m. ",Ni-lus,niːlʊs,nilus
nimbus," nīmbus, i, m. ",nim-bus,niːmbʊs,nimbus
nimie," nĭmĭē, adv. ",ní-mi-e,nɪmɪeː,nimje
nimirum," nīmīrŭm, adv. ",ni-mí-rum,niːmiːrʊm,nimirum
nimis," nĭmĭs, adv. ",ni-mis,nɪmɪs,nimis
nimium," nĭmĭŭm, adv. ",ní-mi-um,nɪmɪʊm,nimjum
nimius," nĭmĭus, a, um ",ní-mi-us,nɪmɪʊs,nimjus
nisi," nĭsĭ, con. sub. ",ni-si,nɪsɪ,nisi
nisus," nīsus, a, um ",ni-sus,niːsʊs,nisus
Nisus," Nīsus, i, m. ",Ni-sus,niːsʊs,nisus
nisus," nīsus, us, m. ",ni-sus,niːsʊs,nisus
niteo," nĭtĕo, es, ere ",ní-te-o,nɪtɛo,nitɛo
nitidus," nĭtĭdus, a, um ",ní-ti-dus,nɪtɪdʊs,nitidus
nitor," nītŏr, eris, eris, nixus sum ",ni-tor,niːtɔr,nitɔr
nitor," nĭtŏr, oris, m. ",ni-tor,nɪtɔr,nitɔr
niveus," nĭvĕus, a, um ",ní-ve-us,nɪwɛʊs,nivɛus
nix," nīx, niuis, f. ",nix,niːks,niks
no," nō, as, are ",no,noː,no
nobilis," nōbĭlĭs, e ",nó-bi-lis,noːbɪlɪs,nobilis
nobilitas," nōbĭlĭtās, atis, f. ",no-bí-li-tas,noːbɪlɪtaːs,nobilitas
nobilito," nōbĭlĭto, as, are ",no-bí-li-to,noːbɪlɪto,nobilito
nocens," nŏcēns, entis ",no-cens,nɔkeːns,nɔtʃens
noceo," nŏcĕo, es, ere, nocui, nocitum ",nó-ce-o,nɔkɛo,nɔtʃɛo
nocte," nōcte, adv. ",noc-te,noːktɛ,noktɛ
noctu," nōctū, adv. ",noc-tu,noːktʊː,noktu
nocturnus," nōctūrnus, a, um ",noc-túr-nus,noːktʊːrnʊs,nokturnus
noctus," nōctŭs, ūs, f. arch. cf. nox ",noc-tus,noːktʊs,noktus
nodus," nōdus, i, m. ",no-dus,noːdʊs,nodus
nolo," nōlo, non uis, nolle, nolui ",no-lo,noːlo,nolo
nome," nŏmē, es, f. ",no-me,nɔmeː,nɔme
nomen," nōmĕn, inis, n. ",no-men,noːmɛn,nomɛn
nominatim," nōmĭnātĭm, adv. ",no-mi-ná-tim,noːmɪnaːtɪm,nominatim
nomino," nōmĭno, as, are ",nó-mi-no,noːmɪno,nomino
non," nōn, adv. neg. ",non,noːn,non
nona," nōna, ae, f. ",no-na,noːna,nona
nondum," nōndŭm, adv. ",non-dum,noːndʊm,nondum
nonne," nōnnĕ, adv. interr. ",non-ne,noːnnɛ,nonnɛ
nonnullus," nōnnūllus, a, um ",non-núl-lus,noːnnʊːllʊs,nonnullus
nonnumquam," nōnnūmquăm, adv. ",non-núm-quam,noːnnʊːmkʷam,nonnumkwam
nonnus," nōnnus, i, m. ",non-nus,noːnnʊs,nonnus
nonus," nōnus, a, um ",no-nus,noːnʊs,nonus
nos," nōs, nostrum pron. pl. ",nos,noːs,nos
nosco," nōsco, is, ere, noui, notum ",nos-co,noːsko,nosko
noster," nōstĕr, tra, trum, adi. pron. ",nos-ter,noːstɛr,nostɛr
nota," nŏta, ae, f. ",no-ta,nɔta,nɔta
